id,usia,jenis_kelamin,status,pss_fam_1,pss_fam_2,pss_fam_3,pss_fam_4,pss_fri_1,pss_fri_2,pss_fri_3,pss_fri_4,pss_so_1,pss_so_2,pss_so_3,pss_so_4
66,37,1,belum menikah,5,3,1,3,5,7,4,4,6,5,4,4
67,27,0,belum menikah,4,4,4,4,6,3,7,2,7,7,5,5
68,34,1,belum menikah,1,3,4,6,7,4,6,7,7,4,5,3
69,31,0,menikah,2,4,3,4,3,2,3,6,1,4,3,5
70,28,1,menikah,1,1,1,1,1,1,1,2,1,1,1,1
71,31,1,belum menikah,5,6,6,3,6,6,7,7,7,7,7,7
72,37,1,bercerai,1,1,1,1,5,4,5,1,1,2,1,1
73,36,1,belum menikah,2,1,1,2,1,2,3,2,1,1,1,1
74,35,1,belum menikah,7,7,7,7,3,3,5,2,3,3,4,6
75,26,0,belum menikah,3,4,4,5,2,2,1,2,5,6,5,3
76,30,1,menikah,1,2,1,2,3,1,6,3,2,3,2,2
77,22,1,menikah,4,6,6,4,6,4,4,5,4,6,6,7
78,22,0,belum menikah,3,3,3,1,2,6,4,4,6,5,7,5
79,23,1,menikah,6,2,5,5,5,4,5,2,5,7,6,7
80,30,1,belum menikah,6,3,7,5,4,4,2,3,6,7,7,7
81,38,1,belum menikah,3,4,6,3,7,6,5,7,4,7,3,5
82,34,1,belum menikah,1,3,3,1,1,1,1,1,3,3,3,2
83,20,0,belum menikah,6,5,6,7,5,1,1,3,3,4,4,4
84,35,1,belum menikah,6,5,5,4,4,5,5,4,7,5,7,7
85,24,1,menikah,7,6,5,6,7,4,6,7,4,3,4,3
86,36,0,belum menikah,7,7,7,6,7,6,7,7,7,7,7,6
87,31,0,menikah,6,5,5,6,6,7,6,5,7,6,7,7
88,37,1,menikah,3,2,3,2,1,2,4,4,4,3,5,2
89,34,1,belum menikah,3,4,2,3,5,4,6,3,2,1,2,3
90,25,1,belum menikah,7,6,5,4,5,4,2,6,3,2,5,4
91,18,1,bercerai,5,3,2,1,4,3,6,5,2,1,2,1
92,31,1,menikah,1,3,2,3,6,5,6,4,6,7,7,3
93,18,1,belum menikah,7,7,7,7,6,7,7,7,7,7,6,6
94,22,1,belum menikah,3,4,2,3,5,1,2,5,1,1,1,1
95,19,0,belum menikah,5,3,3,2,4,2,3,3,1,1,1,1
96,29,1,belum menikah,2,1,2,2,1,3,1,1,1,2,2,3
97,37,1,belum menikah,7,7,6,7,6,3,1,5,5,6,7,6
98,28,1,belum menikah,6,5,7,4,5,5,7,6,2,2,5,6
99,37,0,belum menikah,3,4,6,5,5,3,5,4,2,2,2,2
100,32,0,belum menikah,2,3,4,3,6,5,2,4,3,6,7,6
101,29,0,menikah,2,2,1,2,2,1,1,2,3,4,2,2
102,29,1,menikah,3,3,4,2,2,3,5,4,2,5,3,1
103,28,1,belum menikah,3,4,5,5,5,5,7,6,3,5,4,3
104,32,0,belum menikah,1,1,4,1,2,1,2,1,2,2,2,2
105,32,1,bercerai,1,1,2,2,2,2,4,2,1,1,1,2
106,30,1,belum menikah,7,3,4,5,2,2,6,3,4,5,6,5
107,34,1,belum menikah,2,3,4,3,1,2,2,4,3,4,5,4
108,36,1,menikah,4,2,5,6,5,6,3,6,5,6,4,5
109,18,1,belum menikah,7,7,7,7,7,7,7,7,7,6,6,6
110,25,0,bercerai,2,1,3,1,2,5,1,1,1,2,1,1
111,33,0,menikah,3,4,3,6,6,3,1,5,5,3,6,3
112,37,1,belum menikah,4,3,1,2,1,1,4,3,6,5,4,3
113,24,1,belum menikah,7,7,7,7,7,6,4,6,7,7,7,7
114,39,0,belum menikah,2,3,2,3,3,4,2,1,6,7,7,5
115,19,1,belum menikah,6,7,7,6,7,6,5,6,4,5,6,7
116,37,1,menikah,4,3,7,5,6,7,7,5,7,7,5,7
117,35,0,belum menikah,2,2,2,3,3,2,5,3,6,6,6,6
118,19,0,belum menikah,3,5,2,4,5,3,5,7,7,5,2,2
119,29,0,belum menikah,2,2,1,2,3,1,1,1,1,1,1,2
120,36,0,belum menikah,1,1,1,1,5,1,1,1,1,1,3,1
121,39,0,belum menikah,1,2,1,1,1,2,2,1,1,2,1,3
122,38,1,belum menikah,4,6,2,5,4,6,6,3,4,5,4,5
123,29,1,belum menikah,5,4,4,6,6,4,6,3,5,5,7,5
124,31,1,belum menikah,1,2,2,2,3,2,1,1,4,1,4,2
125,32,1,belum menikah,5,4,2,4,7,7,7,7,7,6,3,6
126,38,1,belum menikah,5,5,3,4,2,6,6,4,4,5,6,4
127,23,0,bercerai,5,6,7,6,5,3,4,6,5,7,6,7
128,23,0,menikah,1,2,1,1,3,4,2,4,5,4,2,3
129,18,1,belum menikah,5,7,7,4,6,5,7,7,3,4,7,3
130,21,0,bercerai,3,3,2,3,6,7,7,6,4,6,6,5
131,30,1,belum menikah,2,4,2,4,2,3,3,3,3,2,2,4
132,34,1,belum menikah,2,5,3,2,1,2,2,4,1,2,2,1
133,30,0,menikah,5,5,2,6,7,5,6,5,6,4,2,3
134,25,1,belum menikah,4,6,7,6,6,5,3,7,7,7,7,7
135,30,0,belum menikah,6,7,4,6,7,6,7,7,4,2,2,2
136,27,1,belum menikah,3,3,3,2,2,3,3,2,2,2,1,4
137,28,0,belum menikah,1,2,1,1,2,3,3,3,2,3,2,4
138,22,1,belum menikah,4,6,6,1,6,6,5,5,6,7,5,5
139,24,0,belum menikah,4,3,2,6,6,5,7,3,6,5,4,4
140,33,1,menikah,6,6,4,6,5,2,2,1,5,4,2,3
141,27,1,menikah,4,5,5,3,3,4,2,2,4,1,1,2
142,23,1,menikah,1,2,1,1,1,5,1,2,3,2,1,2
143,39,0,belum menikah,5,7,7,7,6,7,5,4,7,7,7,7
144,21,1,menikah,6,5,5,3,6,6,5,7,3,3,6,6
145,25,0,belum menikah,4,4,4,7,5,3,2,4,4,5,5,6
146,33,0,belum menikah,4,2,6,2,3,4,2,3,6,2,4,6
147,29,1,menikah,2,2,1,1,3,4,4,3,5,5,4,6
148,28,1,belum menikah,6,4,5,4,2,4,1,2,1,1,3,2
149,27,1,menikah,1,1,1,1,1,1,1,1,1,2,2,1
150,27,0,menikah,1,1,3,1,1,1,1,1,1,1,1,1
151,37,0,menikah,3,3,4,5,7,4,5,5,5,7,3,5
152,38,0,belum menikah,7,7,7,6,6,7,6,7,6,7,3,7
153,27,0,menikah,7,5,6,7,7,7,4,6,2,3,3,5
154,22,1,belum menikah,2,2,5,5,1,1,2,3,4,3,5,3
155,24,0,belum menikah,7,7,6,5,5,6,6,7,6,5,7,4
156,23,1,menikah,7,3,6,1,6,4,4,5,5,3,6,6
157,26,1,belum menikah,5,5,4,3,6,5,2,2,7,7,7,7
158,38,1,menikah,5,2,3,3,3,1,3,4,1,1,3,2
159,38,1,belum menikah,5,4,3,2,5,4,4,2,7,7,7,7
160,30,1,belum menikah,7,4,5,4,2,5,3,6,6,4,2,4
161,18,0,menikah,6,3,3,4,2,4,3,2,2,1,1,1
162,38,1,belum menikah,3,2,1,2,4,4,2,3,6,7,4,6
163,25,0,menikah,7,5,6,4,5,4,3,6,6,4,5,6
164,29,0,belum menikah,5,4,4,1,3,5,5,4,4,2,2,4
165,18,0,belum menikah,7,7,7,7,2,2,1,1,5,5,6,4
166,19,1,belum menikah,2,3,4,2,2,2,1,3,1,1,2,1
167,25,0,belum menikah,3,4,6,4,4,6,7,6,7,2,3,5
168,33,1,menikah,7,7,5,6,6,5,4,3,4,7,7,6
169,37,1,belum menikah,3,4,3,5,6,7,7,7,7,7,6,7
170,25,0,belum menikah,2,3,4,1,7,6,7,5,3,4,4,5
171,23,1,menikah,1,5,1,3,1,4,3,1,1,1,1,1
172,24,0,belum menikah,2,2,1,1,2,4,3,3,6,4,6,1
173,28,0,menikah,1,2,4,2,4,3,2,4,5,1,4,5
174,39,1,bercerai,6,3,6,4,3,3,2,2,6,6,5,4
175,33,0,belum menikah,1,1,1,1,1,3,1,3,3,4,1,2
176,34,1,belum menikah,7,7,7,5,7,7,6,5,7,6,6,7
177,19,1,belum menikah,6,4,3,2,1,1,2,2,1,1,2,1
178,38,0,menikah,2,5,1,2,3,1,3,4,1,1,1,1
179,28,1,menikah,2,2,4,3,1,2,2,1,3,3,3,1
180,38,1,belum menikah,1,3,2,2,1,4,2,3,2,1,1,1
181,36,1,belum menikah,2,2,2,1,1,1,4,5,2,4,2,2
182,25,1,belum menikah,5,4,5,4,6,3,5,4,2,2,5,3
183,36,1,belum menikah,5,5,1,5,2,1,2,3,1,2,1,2
184,27,1,belum menikah,2,5,1,2,1,1,1,1,1,2,3,4
185,21,1,belum menikah,2,5,3,3,7,6,6,6,6,5,5,7
186,18,1,belum menikah,7,7,7,7,7,6,6,3,7,7,7,6
187,22,0,menikah,5,3,5,4,1,1,3,1,1,1,2,1
188,26,0,menikah,1,1,1,1,1,2,1,1,1,1,2,1
189,20,1,belum menikah,6,7,5,7,7,4,4,4,7,7,7,6
190,23,1,belum menikah,6,3,5,6,7,7,7,7,2,1,3,1
191,28,1,menikah,6,7,6,7,7,5,6,5,5,6,3,6
192,26,0,menikah,5,4,5,7,4,2,4,1,3,2,3,2
193,30,0,menikah,7,6,7,5,7,6,7,7,7,7,7,7
194,36,1,belum menikah,7,7,7,7,7,7,7,7,6,7,7,7
195,23,1,belum menikah,1,3,5,5,3,3,3,5,7,5,3,7
196,33,1,menikah,2,1,4,3,1,5,6,2,1,1,3,1
197,38,1,belum menikah,2,3,3,5,3,5,5,2,2,2,3,2
198,28,1,belum menikah,5,4,6,6,7,5,6,5,6,6,5,7
199,31,0,menikah,7,7,7,7,7,7,7,6,7,7,7,7
200,25,0,belum menikah,6,2,5,4,4,6,2,4,4,5,4,3
201,20,1,belum menikah,1,2,3,2,4,3,1,4,1,1,6,1
202,31,1,menikah,5,7,7,7,7,7,7,7,5,5,4,5
203,21,1,belum menikah,1,2,1,2,1,1,1,2,1,4,2,4
204,38,0,belum menikah,6,4,4,4,5,6,6,6,4,1,2,2
205,25,1,menikah,7,7,6,7,7,7,4,1,7,6,7,4
206,39,0,bercerai,7,7,7,7,4,7,6,7,5,6,7,7
207,35,1,bercerai,2,1,5,3,3,2,3,5,6,6,6,4
208,23,1,belum menikah,3,1,3,6,5,3,3,5,7,4,5,5
209,26,1,menikah,7,6,7,7,7,7,7,7,7,7,7,5
210,36,0,menikah,5,4,7,6,6,7,7,6,7,6,7,7
211,32,1,belum menikah,1,3,1,4,7,7,4,3,4,3,2,6
212,39,1,belum menikah,6,7,7,6,2,1,3,2,4,6,7,6
213,31,0,menikah,4,6,3,7,5,5,7,6,7,6,7,7
214,21,0,belum menikah,7,7,7,7,7,5,6,7,7,7,7,7
215,28,1,belum menikah,1,1,2,3,3,2,5,1,1,1,1,1
216,21,1,bercerai,5,7,5,6,5,3,3,2,6,4,2,6
217,26,0,menikah,3,4,5,6,7,5,6,7,1,4,5,3
218,24,1,belum menikah,4,3,7,3,7,7,5,6,5,3,4,4
219,29,1,belum menikah,7,7,7,7,7,7,7,7,6,7,7,7
220,28,1,belum menikah,3,6,3,5,5,4,3,7,5,5,7,6
221,25,1,menikah,2,2,4,3,1,4,4,6,2,4,4,2
222,18,1,belum menikah,2,2,1,5,2,3,5,2,6,4,3,3
223,37,1,belum menikah,5,4,6,2,7,7,7,7,5,6,7,7
224,35,0,belum menikah,5,1,6,6,4,3,3,6,5,4,2,2
225,23,1,belum menikah,6,4,5,4,6,6,5,3,5,5,6,3
226,28,0,belum menikah,4,5,5,7,3,3,4,2,4,5,2,5
227,32,0,menikah,2,1,4,1,4,1,4,2,2,1,2,3
228,21,1,belum menikah,4,5,6,5,4,6,5,7,6,5,7,7
229,37,1,menikah,7,6,4,7,3,2,2,7,5,5,7,4
230,23,1,menikah,4,5,7,4,5,2,5,5,1,1,3,1
231,27,1,belum menikah,7,7,7,7,5,2,5,6,5,3,7,4
232,27,1,belum menikah,5,4,3,4,3,6,6,5,3,3,4,3
233,35,1,belum menikah,2,7,7,6,7,7,7,6,5,6,5,6
234,23,1,menikah,3,5,3,4,1,1,3,2,2,2,2,4
235,19,1,belum menikah,6,6,7,6,4,6,5,6,2,3,3,4
236,18,1,menikah,1,2,5,1,3,1,1,5,2,1,5,1
237,22,1,menikah,6,6,5,3,5,4,6,3,4,5,1,1
238,31,1,menikah,1,4,4,4,4,5,4,5,3,4,4,6
239,25,0,belum menikah,4,6,1,6,5,3,7,6,5,4,5,4
240,34,0,menikah,7,7,7,7,7,7,7,7,7,7,7,7
241,20,1,belum menikah,1,1,1,1,1,1,1,2,1,2,2,1
242,33,1,belum menikah,3,5,4,3,5,3,2,6,3,2,2,4
243,37,1,menikah,4,4,2,5,4,5,2,6,5,2,3,3
244,34,0,belum menikah,7,7,7,6,7,7,7,7,7,7,6,7
245,37,0,menikah,5,4,3,3,6,6,5,7,7,5,5,3
246,28,1,menikah,6,4,6,5,5,6,7,3,2,1,5,4
247,36,1,belum menikah,2,5,2,2,3,4,4,4,6,3,7,6
248,34,1,bercerai,6,3,3,3,3,5,2,5,1,1,3,1
249,26,1,belum menikah,4,4,4,4,6,7,6,7,4,4,4,4
250,24,1,belum menikah,6,6,5,7,4,6,5,3,7,6,6,7
251,21,0,belum menikah,6,6,6,7,7,4,3,4,7,7,6,7
252,27,1,menikah,2,1,1,1,1,1,1,1,3,1,1,2
253,18,1,bercerai,6,6,3,5,4,4,3,5,7,3,5,5
254,20,1,menikah,4,5,4,4,3,5,5,6,4,3,4,5
255,38,1,menikah,6,6,4,2,4,1,6,5,3,3,4,1
256,20,1,belum menikah,1,2,2,1,3,2,1,1,3,1,1,1
257,35,1,menikah,4,6,3,6,5,7,7,6,3,4,4,5
258,37,1,belum menikah,2,1,1,4,5,4,4,4,4,3,4,5
259,24,1,belum menikah,3,4,2,4,6,7,3,6,4,6,6,5
260,29,0,menikah,3,5,4,5,5,3,7,4,5,5,5,2
261,36,0,belum menikah,4,4,4,7,3,1,1,2,3,3,3,3
262,32,0,belum menikah,2,2,1,1,3,2,1,3,5,6,6,3
263,20,1,belum menikah,4,2,2,2,7,7,6,7,7,4,7,7
264,37,0,belum menikah,7,7,6,5,6,6,7,6,7,3,4,3
265,27,0,menikah,6,6,3,4,2,1,1,3,2,3,1,1
266,33,1,belum menikah,7,7,5,7,4,5,6,5,2,4,3,5
267,22,1,belum menikah,6,4,5,7,3,6,1,2,4,5,5,4
268,22,0,belum menikah,7,7,5,6,6,5,1,4,2,4,3,3
269,23,1,bercerai,1,1,1,2,2,6,6,5,7,6,5,7
270,23,1,belum menikah,2,3,4,5,3,2,3,1,2,1,1,5
271,18,1,belum menikah,2,5,5,3,4,3,4,2,4,5,5,5
272,22,1,belum menikah,7,7,4,5,6,7,4,4,4,5,5,2
273,21,1,belum menikah,4,4,2,6,2,2,4,1,6,5,3,2
274,34,0,belum menikah,7,5,5,4,5,1,5,3,4,3,6,1
275,27,0,menikah,1,3,1,1,2,1,4,2,3,3,1,6
276,27,1,belum menikah,4,5,3,4,3,7,7,1,7,7,7,7
277,31,0,menikah,3,5,3,5,4,7,7,7,5,5,4,5
278,25,1,menikah,1,1,1,1,2,4,3,2,2,1,2,1
279,27,0,belum menikah,7,6,7,6,7,7,7,7,7,7,7,6
280,22,1,menikah,2,2,4,5,7,5,6,7,6,5,3,5
281,25,1,belum menikah,7,7,7,7,4,7,7,3,3,5,5,4
282,34,1,menikah,4,7,7,7,4,6,5,6,5,6,7,6
283,38,1,menikah,6,7,6,7,4,4,7,7,6,4,7,7
284,21,0,menikah,4,6,5,2,3,3,5,3,3,5,2,3
285,39,0,menikah,2,4,5,3,4,5,6,3,5,5,1,3
286,26,1,belum menikah,1,1,1,1,2,2,5,4,7,7,6,5
287,25,1,belum menikah,4,5,6,3,2,5,4,5,3,4,2,4
288,29,1,menikah,5,5,7,6,7,7,6,7,7,6,6,7
289,19,1,menikah,6,7,6,7,6,5,3,5,4,3,4,1
290,35,1,menikah,5,5,6,7,4,5,5,6,5,4,3,7
291,26,0,menikah,7,7,7,7,6,7,6,7,4,5,3,7
292,37,1,menikah,6,7,4,5,3,4,3,1,5,2,4,1
293,37,1,belum menikah,6,7,6,5,5,4,4,6,4,5,7,4
294,19,0,belum menikah,4,5,3,6,6,2,6,6,2,4,7,3
295,32,1,menikah,6,5,5,7,5,4,5,4,6,6,4,7
296,38,1,belum menikah,4,5,6,5,5,7,7,6,3,6,5,7
297,25,1,menikah,5,1,6,6,6,6,7,5,6,6,6,7
298,31,0,menikah,3,3,2,2,5,4,2,2,1,1,3,1
299,34,1,belum menikah,4,6,3,5,1,1,3,2,6,3,3,2
300,36,1,belum menikah,5,7,5,7,7,7,6,7,5,5,6,7
301,38,1,belum menikah,4,5,5,7,6,5,5,5,4,6,4,7
302,20,1,menikah,5,6,6,6,3,4,2,4,4,3,4,4
303,23,0,belum menikah,2,2,1,1,4,5,4,5,4,6,2,4
304,23,1,belum menikah,6,7,5,7,2,2,3,3,7,7,7,4
305,22,1,belum menikah,2,1,2,2,4,1,1,1,4,5,3,4
306,24,1,belum menikah,6,2,5,2,1,2,2,2,1,1,1,1
307,27,0,menikah,2,2,1,3,2,1,2,1,2,2,3,2
308,36,0,menikah,7,7,7,7,7,7,7,7,6,6,6,7
309,37,1,belum menikah,4,5,1,4,4,3,3,6,2,1,3,1
310,35,1,belum menikah,3,1,1,2,1,1,2,1,1,1,1,1
311,19,1,menikah,3,6,6,2,3,5,2,2,5,3,3,3
312,36,1,belum menikah,7,4,7,4,2,2,2,4,6,4,3,6
313,18,1,belum menikah,2,4,3,4,3,3,6,5,5,4,6,5
314,36,0,menikah,1,2,3,1,6,7,5,7,1,1,1,6
315,35,0,belum menikah,3,5,5,5,2,5,5,2,5,6,4,5
316,35,0,belum menikah,4,3,4,6,4,5,4,3,2,2,1,3
317,30,1,belum menikah,5,3,7,7,5,3,3,6,2,1,2,1
318,25,1,menikah,2,1,1,3,4,2,4,3,2,1,2,2
319,39,1,belum menikah,7,7,7,7,6,7,7,6,4,3,6,5
320,30,0,menikah,7,5,3,3,3,2,5,3,6,6,5,3
321,34,0,menikah,7,7,6,4,6,3,4,4,5,6,7,4
322,19,1,belum menikah,2,7,4,2,6,2,6,3,4,2,1,2
323,33,1,bercerai,1,1,1,1,1,1,1,1,2,3,2,3
324,38,1,menikah,1,1,1,1,4,3,1,3,2,3,6,3
325,24,0,belum menikah,3,3,3,3,4,1,3,1,7,7,5,5
326,29,1,belum menikah,5,3,2,4,3,2,1,1,1,3,2,3
327,22,0,belum menikah,4,6,2,5,5,3,2,3,5,5,3,7
328,30,0,belum menikah,5,4,6,6,4,5,6,7,2,1,3,1
329,19,1,menikah,7,5,5,6,7,7,7,7,7,7,7,6
330,25,1,belum menikah,5,2,7,2,2,3,7,4,5,7,6,6
331,30,1,menikah,5,6,2,7,5,5,5,3,4,6,5,6
332,39,1,belum menikah,2,2,1,1,1,1,2,3,4,3,5,1
333,27,1,belum menikah,4,6,3,5,2,3,3,3,2,6,3,6
334,21,1,belum menikah,1,1,2,1,2,1,1,2,1,1,1,1
335,18,1,menikah,7,7,6,7,7,7,7,7,7,6,3,5
336,38,0,menikah,3,6,7,7,1,2,2,1,1,1,1,1
337,19,1,belum menikah,1,3,1,4,1,3,1,1,4,6,6,6
338,27,0,belum menikah,3,1,4,2,3,4,4,3,4,5,6,5
339,32,0,belum menikah,2,2,1,5,1,1,1,1,4,1,2,1
340,18,1,menikah,1,1,2,2,1,2,1,1,4,7,5,3
341,25,1,belum menikah,1,1,2,3,5,6,3,5,3,2,2,3
342,24,1,menikah,4,1,4,1,3,2,5,5,4,5,5,4
343,27,1,menikah,3,2,4,2,4,5,4,1,1,1,1,1
344,25,1,belum menikah,3,1,1,2,2,2,2,2,7,3,3,2
345,36,0,belum menikah,4,3,4,4,6,5,7,7,2,2,1,1
346,37,1,menikah,3,3,3,4,7,6,6,7,7,5,5,3
347,25,1,belum menikah,1,1,2,1,1,3,2,1,2,3,4,3
348,39,1,belum menikah,6,7,7,7,1,6,4,3,4,7,5,4
349,27,1,menikah,6,6,4,3,3,5,3,6,5,7,6,6
350,38,1,belum menikah,2,1,1,2,1,3,1,5,1,1,1,3
351,31,1,belum menikah,5,7,7,6,7,7,7,7,7,6,4,5
352,29,0,belum menikah,7,7,3,5,3,6,1,3,1,3,5,2
353,22,0,belum menikah,6,2,4,5,4,3,5,7,2,7,4,1
354,18,1,menikah,6,3,6,2,5,4,4,4,7,3,3,7
355,26,0,menikah,2,4,7,6,6,3,3,7,3,3,6,6
356,32,0,menikah,5,4,6,6,7,7,7,7,7,7,6,7
357,36,1,menikah,4,2,2,3,2,1,6,4,1,1,1,1
358,23,0,menikah,2,2,1,1,3,5,3,5,1,2,1,2
359,29,1,belum menikah,2,2,2,2,3,2,3,3,1,2,1,3
360,28,0,belum menikah,1,1,4,5,2,4,2,3,3,2,1,2
361,37,0,belum menikah,3,1,3,2,2,1,1,1,1,2,1,2
362,36,1,belum menikah,4,3,2,5,7,7,7,7,7,5,5,5
363,24,1,belum menikah,3,1,6,4,6,6,6,4,3,3,3,2
364,20,0,bercerai,3,3,2,1,7,5,4,5,7,6,6,5
365,20,1,belum menikah,5,4,2,6,5,5,6,4,5,3,2,1
366,27,1,belum menikah,4,2,2,3,2,4,6,4,3,4,5,5
367,23,1,belum menikah,5,3,2,3,6,6,6,7,3,5,4,4
368,25,1,belum menikah,7,7,7,5,2,4,6,3,5,5,2,6
369,33,1,belum menikah,4,3,3,5,3,2,4,4,5,3,5,2
370,26,1,menikah,7,7,7,7,6,6,5,7,5,4,6,6
371,18,0,menikah,3,2,3,3,3,3,1,5,3,4,5,6
372,33,0,belum menikah,5,4,4,6,1,1,1,1,4,5,3,2
373,38,0,menikah,7,7,5,7,7,4,3,3,5,4,3,1
374,18,1,menikah,1,1,1,1,1,1,2,1,2,1,2,1
375,32,0,belum menikah,1,3,4,2,1,5,3,1,1,1,1,1
376,35,1,belum menikah,5,2,4,4,4,6,5,3,5,3,3,3
377,33,1,belum menikah,5,4,4,6,5,6,4,7,3,6,5,4
378,29,0,belum menikah,1,1,2,1,1,1,1,1,1,2,1,1
379,38,0,belum menikah,3,3,2,6,5,1,5,4,2,4,1,2
380,32,0,menikah,6,4,6,4,2,4,4,3,5,7,6,6
381,39,1,menikah,4,6,5,4,6,3,5,4,3,2,1,1
382,19,1,belum menikah,1,1,1,1,4,6,6,4,5,4,7,7
383,25,1,belum menikah,7,6,3,6,7,7,7,7,7,7,7,7
384,27,0,belum menikah,5,5,4,3,4,6,7,2,5,6,6,6
385,23,1,belum menikah,2,2,2,1,2,2,3,1,2,2,1,3
386,32,0,belum menikah,7,6,3,6,6,5,5,6,6,3,6,6
387,29,0,belum menikah,1,1,1,1,4,2,2,1,6,4,1,5
388,36,1,menikah,1,1,2,2,3,2,1,1,2,4,3,1
389,18,1,belum menikah,6,6,7,3,5,6,5,5,5,4,5,5
390,39,1,belum menikah,1,1,1,1,1,1,1,1,1,1,3,1
