id,usia,jenis_kelamin,jalur_registrasi,kecemasan_akademik,jarak_pokjar_km,keterlibatan_akademik,putus_studi
94,37,0,3,29,20.8,5.52,0
95,27,1,2,34,12.2,5.17,0
96,29,1,3,37,0.6,4.69,0
97,30,0,1,33,3.8,5.39,0
98,37,1,2,24,2.1,3.63,0
99,34,1,3,21,0.5,5.5,0
100,18,0,2,28,20.1,3.0,1
101,49,1,3,29,4.4,5.94,0
102,52,0,3,24,36.6,4.02,1
103,29,1,3,39,1.5,4.26,0
104,43,1,2,24,2.2,3.04,0
105,41,1,2,31,3.8,4.64,1
106,31,0,1,27,50.0,4.17,1
107,33,1,2,24,1.5,2.73,0
108,46,1,1,18,5.7,4.75,1
109,19,0,3,21,9.2,5.15,0
110,43,1,3,35,48.4,3.26,1
111,47,0,2,12,25.6,4.73,0
112,29,1,1,27,3.3,5.35,0
113,50,1,1,26,5.0,5.01,1
114,43,0,3,10,0.5,4.32,1
115,46,1,2,17,0.6,4.22,0
116,34,1,3,31,14.9,3.95,1
117,25,0,1,26,13.8,4.45,1
118,31,0,3,33,14.0,4.61,0
119,18,0,3,20,5.5,4.0,1
120,27,1,1,29,29.2,4.85,0
121,42,1,1,23,17.5,2.34,0
122,26,1,2,15,6.4,3.03,1
123,39,0,1,12,26.5,3.78,1
124,55,1,3,30,1.3,4.03,0
125,30,1,3,15,19.3,5.3,0
126,38,0,3,19,35.6,1.0,1
127,20,1,3,26,10.8,4.31,1
128,44,1,3,9,10.6,4.67,1
129,44,1,3,13,10.2,5.98,0
130,28,1,2,15,4.5,5.03,0
131,25,1,3,24,15.4,5.12,0
132,31,0,3,36,3.4,4.97,0
133,22,1,3,28,4.5,5.68,0
134,40,0,1,27,16.7,6.86,0
135,46,1,3,29,9.7,6.35,1
136,36,0,3,42,36.9,6.54,0
137,18,0,2,15,21.9,4.96,0
138,51,0,3,30,50.0,3.67,1
139,40,0,2,26,0.7,6.42,0
140,37,1,3,33,11.6,3.28,1
141,19,1,3,32,1.2,3.89,1
142,34,1,2,34,3.5,5.47,0
143,35,1,3,26,1.0,3.48,0
144,36,1,2,25,6.6,6.06,0
145,41,1,3,25,1.9,4.55,0
146,27,0,3,32,3.9,6.12,0
147,30,1,3,19,3.8,2.66,1
148,27,1,3,27,6.5,6.61,0
149,33,1,2,22,14.5,4.73,0
150,18,1,1,25,10.9,4.37,0
151,45,1,1,25,0.5,5.99,1
152,40,1,3,30,5.6,3.18,0
153,43,0,1,22,13.4,3.18,1
154,33,0,2,22,11.3,5.32,0
155,38,0,3,30,2.3,4.91,1
156,30,1,3,14,6.0,5.06,0
157,51,1,2,29,22.1,3.71,0
158,22,0,2,28,16.8,2.22,0
159,21,0,3,35,3.2,4.64,0
160,34,0,1,26,13.4,2.44,0
161,37,1,3,19,1.5,3.88,0
162,58,1,3,40,10.2,5.31,0
163,45,0,2,34,7.4,4.14,1
164,40,0,3,30,46.7,4.28,1
165,26,1,2,25,13.9,6.42,0
166,25,0,3,33,18.9,3.62,1
167,25,1,3,17,27.8,5.51,0
168,43,1,2,23,11.5,3.33,0
169,44,1,3,23,32.6,4.04,1
170,44,1,1,21,0.7,3.83,0
171,25,0,3,38,13.4,4.38,1
172,21,0,2,22,30.4,3.06,1
173,36,1,2,19,50.0,4.49,1
174,40,0,3,36,11.6,3.76,0
175,37,1,2,28,10.4,4.85,0
176,43,0,1,19,3.5,4.9,0
177,43,1,3,22,11.5,4.76,0
178,48,1,2,33,20.3,2.8,1
179,43,1,3,25,0.5,6.38,1
180,19,1,3,23,18.5,4.68,0
181,28,1,3,24,2.5,5.48,0
182,33,0,2,43,18.8,5.71,0
183,53,0,1,40,2.0,4.38,1
184,28,0,3,25,16.3,4.56,1
185,32,0,1,23,9.0,4.33,0
186,33,0,3,21,3.6,5.44,0
187,42,1,2,12,6.4,4.26,1
188,32,0,3,16,10.5,5.4,0
189,38,1,1,21,43.0,3.4,1
190,21,1,3,22,43.9,4.76,1
191,36,1,3,20,9.3,4.22,0
192,47,1,3,13,16.6,5.21,1
193,41,1,2,42,7.1,5.22,1
194,33,1,2,38,5.2,4.88,0
195,44,0,1,10,18.4,4.66,0
196,43,0,2,40,13.9,5.82,0
197,39,0,3,20,0.6,4.33,0
198,42,0,3,34,6.3,4.56,1
199,45,0,2,39,12.6,3.83,0
200,28,0,1,22,13.4,4.51,1
201,29,1,1,31,0.7,5.07,0
202,41,1,1,41,19.4,4.8,0
203,52,0,2,24,2.8,5.99,0
204,34,1,1,27,1.9,5.13,1
205,25,1,3,2,24.0,1.89,1
206,47,1,2,24,22.1,4.88,0
207,32,1,2,25,16.9,5.78,0
208,31,0,2,27,6.9,5.31,0
209,18,1,3,19,3.7,5.81,0
210,34,0,2,23,17.1,3.03,1
211,41,0,3,28,27.8,3.24,1
212,25,1,1,27,28.2,5.69,0
213,44,1,2,38,4.4,4.53,0
214,24,0,2,7,3.2,4.03,0
215,29,1,1,15,15.3,3.56,1
216,25,1,1,23,14.9,7.0,0
217,26,1,3,41,10.4,4.28,0
218,20,1,1,30,6.8,3.84,1
219,31,0,1,29,16.6,5.22,0
220,30,1,1,15,0.5,5.31,0
221,31,1,1,29,29.8,4.68,0
222,36,0,1,33,5.2,2.81,1
223,18,0,1,27,5.4,3.84,0
224,39,0,2,24,18.4,6.41,0
225,40,0,2,12,36.7,4.72,1
226,33,1,2,18,8.9,2.06,1
227,40,1,1,45,6.7,3.62,1
228,34,0,3,37,3.5,5.0,0
229,53,0,1,12,28.2,4.31,0
230,45,1,1,24,8.2,5.47,0
231,43,0,2,18,11.0,4.47,1
232,21,0,1,22,49.8,3.22,1
233,35,0,3,17,21.6,3.38,0
234,42,1,1,35,17.0,4.02,1
235,44,0,3,27,1.3,6.11,0
236,34,1,3,33,7.5,5.71,0
237,55,1,3,28,7.3,5.15,0
238,39,1,2,21,4.3,2.81,0
239,29,0,1,22,2.5,4.86,0
240,28,1,2,20,11.8,4.32,0
241,40,1,3,20,13.4,4.12,1
242,43,0,2,20,3.0,4.49,1
243,41,0,1,33,15.0,4.69,1
244,33,0,2,19,13.7,3.56,0
245,46,0,3,24,7.7,4.43,0
246,20,0,2,33,3.5,6.3,1
247,29,1,2,26,3.3,4.47,0
248,37,0,3,9,13.3,4.03,1
249,44,0,1,16,6.6,4.21,1
250,40,1,1,28,1.7,5.5,0
251,25,1,2,25,16.5,3.7,0
252,46,1,3,22,4.7,5.36,0
253,50,0,2,27,0.5,4.47,1
254,53,1,1,30,11.3,4.43,0
255,38,1,1,29,3.6,5.55,0
256,57,1,3,15,46.6,5.44,1
257,42,0,3,16,10.9,4.57,1
258,39,1,1,34,1.4,5.08,0
259,36,0,3,28,1.1,3.4,0
260,28,0,2,29,12.8,4.23,0
261,32,0,1,20,1.0,5.76,0
262,36,1,1,26,3.7,5.65,1
263,31,0,2,31,9.6,4.43,0
264,35,1,3,20,2.6,5.34,0
265,18,1,2,11,32.8,5.53,1
266,45,1,2,31,15.0,5.01,1
267,18,1,3,21,10.0,5.55,0
268,37,1,3,20,30.5,4.02,0
269,36,0,1,34,10.1,5.65,0
270,34,1,1,21,45.6,4.42,1
271,29,1,3,25,7.0,4.7,0
272,44,0,1,40,3.5,4.86,1
273,41,1,3,16,4.0,6.29,0
274,43,1,3,32,23.3,3.83,0
275,28,1,2,25,2.1,5.83,0
276,46,1,3,22,2.1,5.93,0
277,25,1,2,23,7.6,4.46,1
278,38,1,1,10,11.2,6.52,0
279,24,1,2,23,6.1,6.26,0
280,42,0,1,5,6.1,3.85,1
281,26,1,2,26,0.5,4.33,1
282,46,0,3,25,2.3,4.69,0
283,18,1,3,29,1.1,4.58,0
284,22,0,2,24,11.9,5.04,0
285,33,0,1,26,27.9,4.75,0
286,36,0,2,33,4.1,4.76,0
287,49,1,2,22,3.0,6.36,0
288,36,1,1,16,17.9,4.91,0
289,41,1,1,19,9.9,6.44,0
290,25,1,3,28,10.4,4.58,0
291,31,1,1,18,10.0,5.74,0
292,26,1,3,19,15.8,7.0,0
293,33,1,3,37,22.5,3.77,0
294,36,1,2,17,22.4,4.93,0
295,28,0,1,30,5.1,5.27,0
296,39,1,2,26,10.6,3.56,0
297,41,0,3,22,12.9,4.81,1
298,18,1,2,43,15.7,6.09,0
299,22,1,3,31,37.4,3.34,1
300,26,0,3,26,2.4,4.7,0
301,29,1,1,25,2.8,5.53,0
302,34,1,3,37,50.0,3.72,1
303,36,0,3,31,23.3,3.16,1
304,23,1,2,25,12.4,4.46,0
305,31,0,1,14,1.7,3.81,1
306,27,1,3,20,14.8,2.46,0
307,46,1,3,27,23.7,3.93,1
308,32,1,2,31,15.7,3.92,0
309,27,0,2,32,5.7,3.2,1
310,41,0,2,17,1.2,5.7,0
311,28,0,2,29,0.7,4.95,0
312,18,1,2,15,6.6,6.35,0
313,31,1,2,19,10.1,5.32,0
314,27,1,2,31,17.4,5.8,1
315,22,1,3,19,19.5,4.81,1
316,37,0,1,35,7.1,4.43,1
317,36,0,3,26,36.5,3.06,1
318,36,1,1,16,2.4,4.68,0
319,57,0,3,19,7.6,4.57,0
320,30,0,3,24,8.2,5.41,0
321,18,0,3,17,7.9,5.15,0
322,29,0,1,32,3.4,5.76,0
323,29,1,1,28,14.8,4.88,0
324,39,0,3,28,15.6,5.1,0
325,44,1,2,38,11.5,4.57,1
326,37,1,3,29,0.8,4.76,0
327,18,1,1,28,2.2,4.25,0
328,30,0,1,20,4.9,4.66,0
329,32,0,1,29,0.5,5.75,0
330,21,1,3,23,0.6,3.55,0
331,42,1,2,28,13.6,6.33,0
332,30,1,1,26,12.9,4.18,1
333,25,1,2,26,11.2,3.76,0
334,33,1,2,26,1.2,3.89,0
335,25,0,1,22,10.7,4.34,0
336,35,1,3,17,2.3,6.61,0
337,42,0,3,30,17.5,5.16,1
338,32,0,3,21,20.6,3.28,0
339,24,0,2,31,10.2,3.72,0
340,21,1,3,22,18.2,4.35,0
341,37,1,1,21,27.4,4.56,0
342,26,1,1,29,11.5,5.52,0
343,32,0,1,20,1.2,7.0,0
344,27,0,3,21,6.2,4.24,0
345,30,1,3,30,9.8,5.32,0
346,45,0,1,14,3.2,4.98,0
347,27,1,2,23,9.1,5.96,0
348,34,1,3,22,5.1,5.66,0
349,24,0,3,14,1.9,4.22,0
350,30,1,3,29,1.5,3.39,0
351,31,0,3,32,1.5,5.67,0
352,31,1,1,20,2.5,3.73,1
353,33,1,3,27,6.8,4.73,0
354,24,0,3,25,10.0,5.55,0
355,32,1,3,25,6.5,3.74,0
356,49,1,3,30,6.7,4.68,0
357,26,1,3,30,5.7,4.4,0
358,43,1,3,16,0.7,7.0,0
359,56,1,2,26,6.3,4.86,1
360,33,1,2,24,10.5,3.46,0
361,49,0,1,34,9.1,4.48,0
362,22,0,3,24,4.9,4.04,0
363,47,1,1,25,7.8,6.8,0
364,37,1,1,22,22.9,2.95,1
365,47,1,1,22,2.8,3.58,1
366,26,0,3,3,13.3,5.82,0
367,37,0,1,25,0.5,4.99,1
368,24,1,3,18,4.3,5.21,1
369,32,1,3,21,4.0,6.4,0
370,18,1,2,48,50.0,5.77,1
371,34,1,2,21,1.5,6.02,0
372,26,1,2,34,3.0,3.8,0
373,28,1,1,21,34.9,3.84,1
374,43,1,3,10,15.6,5.3,0
375,18,1,1,20,7.6,6.51,0
376,26,1,1,32,10.6,3.7,0
377,26,1,3,22,7.1,3.83,1
378,39,0,1,26,2.4,5.69,0
379,46,1,2,28,3.4,4.09,1
380,32,1,3,27,2.4,3.82,0
381,30,0,3,35,27.0,4.54,0
382,46,1,2,26,28.2,4.36,0
383,39,0,1,32,8.1,4.39,0
384,35,1,2,35,2.9,3.39,1
385,46,0,3,31,9.8,3.16,0
386,36,1,3,12,7.6,4.71,0
387,29,1,3,23,21.5,5.3,0
388,48,1,1,25,8.5,4.09,0
389,38,1,2,16,5.6,6.1,0
390,28,0,3,28,4.2,6.35,0
391,24,1,2,14,0.5,5.49,1
392,34,1,2,38,0.5,3.44,0
393,38,0,2,11,24.9,4.26,0
394,32,0,1,25,0.5,6.77,0
395,29,1,3,2,2.0,3.76,0
396,36,1,2,31,7.6,5.29,1
397,52,1,1,17,3.0,3.62,1
398,39,1,2,27,9.4,5.16,0
399,40,1,1,10,8.0,5.9,0
400,34,1,1,19,13.9,3.96,1
401,39,0,3,33,11.1,3.7,0
402,35,0,3,26,6.0,4.35,1
403,42,0,3,19,5.9,4.53,0
404,33,1,2,30,3.5,4.55,1
405,41,0,3,22,2.6,6.73,0
406,36,0,2,36,19.0,4.49,1
407,43,1,1,31,4.0,4.8,0
408,22,1,1,37,6.5,3.64,0
409,31,0,3,20,10.6,3.7,1
410,54,1,1,47,8.8,4.69,0
411,52,0,2,16,3.4,3.12,0
412,61,1,3,9,18.3,5.39,1
413,40,0,2,38,5.1,5.35,1
414,32,1,1,27,4.6,5.06,0
415,44,0,1,17,1.4,5.36,0
416,30,1,3,45,10.5,3.75,0
417,45,1,1,20,2.2,4.98,0
418,25,0,3,25,8.7,2.96,0
419,43,1,3,29,25.7,4.26,1
420,18,0,1,17,17.1,3.72,1
421,35,0,1,30,36.5,5.13,0
422,53,0,3,18,18.0,5.22,1
423,18,0,1,18,8.6,4.92,0
424,39,0,3,37,2.8,5.28,0
425,30,1,3,37,35.9,3.94,1
426,51,0,2,25,10.8,5.05,0
427,18,0,3,16,19.4,5.8,0
428,21,1,2,9,7.1,5.11,1
429,59,0,2,23,12.9,5.13,0
430,30,0,3,29,4.4,5.01,0
431,34,1,3,26,10.9,3.62,0
432,31,1,3,19,9.1,7.0,0
433,41,1,2,36,22.3,5.12,0
434,31,1,2,30,13.2,4.8,0
435,33,1,3,26,3.6,5.26,0
436,25,0,2,21,6.0,3.89,1
437,37,0,2,17,10.7,4.21,0
438,40,1,3,23,25.7,4.09,1
439,46,1,3,12,4.1,4.06,0
440,41,0,2,37,8.7,5.18,0
441,39,0,1,21,16.6,2.35,1
442,34,1,1,26,24.6,3.88,0
443,49,0,1,10,6.7,4.08,0
444,22,0,2,28,16.9,4.63,0
445,29,0,1,32,3.4,5.4,0
446,30,1,2,41,3.4,3.49,1
447,27,0,3,35,0.5,6.4,1
448,37,1,3,27,6.8,4.08,1
449,32,1,3,21,0.5,4.57,0
450,41,0,3,21,17.4,4.3,0
