id,usia,jenis_kelamin,semester,ipk,ab_ee_1,ab_ee_2,ab_ee_3,ab_ee_4,ab_ee_5,ab_cy_1,ab_cy_2,ab_cy_3,ab_cy_4,ab_cy_5,ab_ef_1,ab_ef_2,ab_ef_3,ab_ef_4,ab_ef_5
136,22,0,3,3.69,3,1,2,2,3,1,2,3,2,3,1,4,5,3,4
137,30,1,2,2.75,1,1,1,1,1,1,1,1,1,2,5,5,5,5,5
138,32,1,2,2.99,4,4,3,4,4,5,4,4,5,3,3,2,5,3,3
139,31,1,1,3.91,2,3,2,4,5,4,2,5,5,3,4,2,5,5,1
140,29,1,3,3.02,5,1,2,5,4,3,2,2,1,3,3,4,3,3,2
141,33,1,4,3.82,2,3,4,3,4,3,2,4,2,3,2,3,2,1,2
142,30,1,3,3.21,2,2,1,2,3,4,2,2,2,1,4,3,4,5,5
143,26,0,2,3.66,3,3,5,4,4,5,5,3,5,5,4,5,4,5,5
144,28,1,1,3.17,4,4,3,5,3,4,4,4,4,3,4,2,3,2,1
145,35,0,1,3.36,3,5,5,3,1,1,3,3,1,4,5,4,3,2,4
146,32,0,2,3.38,2,2,4,2,4,1,2,4,2,1,3,4,3,5,3
147,24,0,2,3.15,1,2,1,1,2,3,2,1,2,3,5,5,4,5,2
148,20,1,3,3.35,4,2,5,4,2,1,2,1,2,1,1,1,2,2,1
149,27,1,1,3.76,1,1,1,1,1,1,1,1,1,1,5,5,2,3,5
150,26,1,3,3.45,1,2,1,1,1,1,1,2,1,2,4,3,2,1,3
151,35,1,1,3.27,2,2,1,1,1,5,4,3,3,3,4,2,2,2,5
152,28,1,2,3.2,5,5,4,5,5,3,5,4,5,4,3,1,1,1,3
153,34,1,3,3.61,4,5,5,5,4,4,5,5,5,4,1,1,3,1,1
154,32,1,2,3.1,3,5,2,2,2,1,1,2,2,2,3,1,3,3,2
155,22,1,2,3.71,3,5,3,4,3,5,5,5,4,3,2,3,1,4,3
156,29,1,2,3.15,2,1,1,1,3,2,3,3,2,3,3,1,4,4,2
157,21,1,1,3.85,4,3,4,3,1,2,2,3,5,4,5,4,3,5,3
158,26,1,4,3.29,2,2,3,3,5,1,3,3,1,2,3,2,1,1,1
159,27,0,2,3.03,3,4,3,2,2,3,2,2,2,4,3,5,3,5,3
160,31,0,1,3.21,4,4,5,5,5,2,3,3,4,3,2,3,1,3,2
161,30,1,4,3.14,3,3,4,4,2,1,2,2,1,4,1,1,2,1,2
162,25,0,4,3.69,1,1,1,2,2,1,2,3,2,1,5,5,5,4,5
163,34,1,1,3.09,4,5,5,3,4,5,3,3,5,2,1,2,1,3,2
164,35,1,4,4.0,3,1,4,1,2,3,2,1,2,2,4,4,4,3,5
165,31,1,3,3.37,4,4,5,5,5,1,3,2,3,1,4,4,3,5,2
166,26,0,2,3.19,1,3,3,2,2,1,3,2,1,1,4,2,3,3,4
167,24,1,1,3.44,3,1,5,2,3,5,4,4,5,2,2,4,3,2,1
168,33,0,2,3.5,4,5,5,5,4,4,4,3,5,4,3,4,3,4,5
169,34,0,3,3.57,2,2,2,2,4,5,5,4,4,5,4,3,3,3,3
170,27,1,1,2.98,4,4,3,4,1,5,5,4,5,4,2,3,4,3,4
171,20,1,1,3.18,2,1,2,2,3,1,1,1,2,5,2,2,4,4,3
172,25,1,1,3.26,1,1,1,1,4,3,4,1,4,4,2,3,5,4,5
173,29,0,1,3.14,1,2,1,2,1,4,2,2,4,5,1,1,3,3,4
174,23,0,4,3.05,4,5,3,5,5,4,4,2,4,4,5,5,4,5,3
175,27,0,2,2.91,2,1,1,1,1,1,1,1,3,1,5,5,5,5,5
176,30,1,1,3.08,3,5,5,3,3,5,5,5,5,5,1,2,2,2,1
177,24,1,2,3.44,2,3,1,2,3,1,1,1,1,1,4,3,3,1,5
178,25,1,4,2.73,3,3,4,4,1,1,1,1,1,1,3,2,2,1,1
179,23,0,1,3.52,3,1,1,2,1,2,1,1,1,1,4,4,5,4,2
180,24,0,2,3.17,1,1,2,1,1,2,2,1,2,3,2,3,2,2,2
181,29,1,3,3.66,1,2,2,1,2,2,3,3,2,1,3,4,4,4,4
182,24,0,3,3.23,2,3,4,5,4,4,3,2,2,2,1,2,2,3,1
183,31,0,1,3.76,1,2,3,2,2,2,1,3,1,1,4,3,4,4,5
184,32,1,2,3.36,2,1,2,3,2,2,1,1,1,1,4,2,3,4,3
185,33,1,1,2.8,2,2,1,5,3,2,3,3,3,4,4,5,5,5,5
186,28,1,2,3.25,5,5,5,5,5,5,2,5,4,4,2,2,2,2,3
187,30,1,1,3.43,4,5,1,5,2,3,2,1,1,1,1,1,1,2,1
188,28,0,3,2.74,1,1,1,1,1,3,1,3,1,1,3,4,4,3,2
189,32,0,1,3.86,3,5,5,2,5,5,5,2,4,4,2,3,1,2,4
190,23,1,2,3.18,4,3,3,3,4,5,5,5,5,4,1,1,1,1,1
191,30,0,1,2.72,5,4,5,3,5,4,3,2,5,3,2,5,5,4,3
192,35,1,2,2.85,3,3,4,4,4,2,1,4,1,2,3,1,1,4,1
193,22,0,2,3.81,5,5,5,4,5,4,5,4,5,5,3,5,4,2,5
194,31,0,1,3.41,5,5,5,5,5,5,5,5,5,5,2,3,1,2,1
195,27,0,1,3.44,2,2,2,1,1,2,3,4,2,5,5,5,5,4,5
196,33,0,1,3.55,2,4,2,3,2,1,1,3,1,4,3,1,3,2,1
197,34,1,2,3.18,3,4,1,2,1,2,3,5,2,3,2,3,2,3,2
198,21,0,2,2.75,5,5,5,3,5,4,3,5,5,4,4,4,2,2,5
199,22,1,1,3.48,5,5,5,5,5,5,5,5,5,5,1,1,1,1,2
200,24,1,4,3.82,3,3,2,4,2,3,3,4,3,3,5,1,5,3,4
201,32,1,3,3.19,1,1,1,2,3,1,2,4,1,2,4,1,1,1,3
202,22,0,4,3.45,5,5,4,5,3,5,5,5,5,5,2,1,1,2,1
203,26,0,2,3.24,2,2,1,2,4,1,2,1,1,1,3,5,5,4,4
204,24,0,1,2.82,5,4,3,4,2,5,4,5,4,4,1,1,1,2,1
205,21,0,2,3.53,5,5,5,4,4,4,5,4,5,4,5,4,4,4,2
206,20,1,1,4.0,4,5,5,1,5,5,5,4,4,4,4,5,3,1,5
207,34,0,1,3.71,2,1,3,3,1,5,5,2,3,4,5,5,4,4,4
208,32,1,1,3.39,3,2,3,3,2,3,3,3,3,3,3,5,4,5,4
209,27,1,3,2.9,5,5,5,5,4,5,5,5,4,5,5,3,4,1,3
210,28,1,3,3.31,5,4,4,5,3,5,5,5,5,4,3,3,4,3,2
211,21,1,3,3.13,1,2,3,2,2,4,2,4,4,2,5,4,3,5,4
212,28,1,3,3.14,5,5,4,4,5,1,1,1,1,1,5,5,5,5,4
213,35,0,1,4.0,4,4,2,5,3,4,5,2,3,3,3,4,4,4,5
214,25,0,1,3.38,4,5,4,5,5,4,5,5,5,4,1,5,3,4,1
215,28,1,4,3.01,1,2,2,2,1,3,1,3,1,1,3,1,1,1,4
216,24,0,1,3.29,5,5,4,5,5,4,4,4,3,3,1,2,3,2,1
217,34,0,4,3.27,2,2,4,2,3,4,4,3,4,5,1,3,1,2,1
218,35,0,3,3.56,2,4,1,2,2,5,4,3,5,5,1,3,1,2,2
219,24,1,1,2.99,5,5,5,5,5,5,5,4,5,4,1,3,1,2,2
220,23,1,2,3.54,4,4,2,5,4,2,4,5,3,2,3,2,5,3,3
221,21,1,1,3.07,4,4,4,2,3,4,2,4,4,4,4,2,3,4,4
222,22,0,1,3.93,1,2,3,1,1,2,3,4,3,5,5,5,4,3,5
223,35,1,1,3.61,2,3,2,3,3,4,4,3,5,4,2,5,2,4,5
224,31,1,2,3.79,4,4,2,3,4,1,3,4,3,2,2,4,2,3,4
225,21,1,2,3.73,2,4,4,3,4,3,4,5,2,3,3,3,3,5,2
226,31,1,2,3.02,5,5,5,2,4,1,3,3,2,2,4,2,2,4,3
227,20,1,1,3.65,1,1,3,2,1,2,2,4,1,3,3,1,3,3,1
228,34,0,4,2.75,4,2,3,5,3,5,3,2,3,4,4,5,2,5,4
229,33,1,1,3.13,5,5,3,4,4,3,4,1,5,5,4,3,3,5,5
230,32,1,2,3.46,4,2,2,4,2,3,2,4,4,3,1,2,2,3,1
231,20,1,2,3.46,4,5,5,5,4,2,3,2,3,4,1,3,1,1,3
232,31,1,2,3.19,3,4,2,4,3,3,1,3,4,3,2,3,3,1,3
233,34,1,4,3.77,4,5,4,3,5,5,5,5,4,5,1,1,1,5,2
234,34,0,3,3.39,2,4,2,3,4,3,1,2,1,2,4,2,3,4,2
235,20,0,2,3.7,4,3,4,4,4,2,4,5,3,2,3,1,1,1,1
236,33,1,2,3.19,1,1,3,3,2,2,1,2,2,1,5,5,4,5,4
237,34,1,1,3.2,5,3,3,4,3,4,3,4,3,4,2,2,4,3,2
238,25,1,3,3.6,1,1,2,2,2,5,4,3,4,4,5,4,5,4,5
239,35,0,2,3.31,2,3,5,2,3,2,1,5,2,2,5,1,4,5,4
240,20,1,1,3.79,5,5,5,5,5,5,5,4,4,4,3,4,3,2,2
241,31,0,1,3.33,1,1,1,1,1,2,1,2,1,3,4,2,5,4,4
242,27,1,4,3.65,1,2,2,3,2,2,2,1,2,5,5,3,4,5,3
243,29,1,2,3.39,2,1,3,2,1,2,3,4,3,5,3,2,2,3,3
244,31,0,3,3.25,5,5,5,4,5,5,5,5,5,5,1,1,2,1,1
245,23,1,2,2.92,1,3,3,2,2,3,3,2,5,2,5,5,5,4,5
246,34,0,4,3.42,5,3,4,5,5,4,4,5,4,5,3,2,1,1,1
247,31,1,2,3.43,2,1,3,2,1,3,5,1,2,1,5,4,3,5,4
248,34,0,2,3.44,3,2,4,3,3,5,2,5,4,4,1,1,1,1,2
249,28,0,1,2.63,1,3,2,1,3,3,5,4,4,5,2,4,2,4,3
250,22,1,1,3.95,5,5,4,5,4,3,4,3,5,4,3,5,3,3,5
251,32,1,1,3.72,4,5,4,5,5,3,3,3,4,4,3,5,5,4,4
252,31,0,2,3.27,1,1,1,1,1,2,1,1,1,1,4,3,5,3,4
253,21,0,3,3.26,3,4,5,2,4,3,2,3,3,2,2,3,3,4,1
254,24,1,3,3.14,2,3,3,4,3,2,1,3,1,5,4,4,4,5,2
255,20,1,3,3.61,4,5,5,3,5,4,2,3,5,4,1,1,1,1,1
256,23,1,1,2.97,2,1,2,2,1,1,1,2,1,1,1,1,4,1,1
257,20,1,2,3.65,3,3,4,3,4,5,4,4,3,5,2,3,1,2,1
258,23,1,3,2.67,2,2,2,1,2,4,4,4,3,5,2,4,4,4,2
259,32,1,1,3.25,4,4,4,5,4,3,2,4,4,4,3,3,3,3,2
260,24,1,2,3.5,1,4,3,2,3,3,3,4,2,5,2,2,1,4,4
261,30,0,2,3.42,2,2,3,1,3,3,1,2,1,1,4,3,5,4,5
262,24,1,2,3.57,1,2,1,3,3,2,2,1,2,1,5,5,5,4,5
263,20,1,3,3.31,3,3,1,4,1,4,5,4,3,4,3,4,5,3,5
264,33,0,1,4.0,5,4,5,2,3,3,4,5,4,5,2,1,1,3,2
265,31,1,1,3.53,1,3,1,3,2,1,1,2,1,2,1,3,4,3,4
266,32,1,3,3.84,4,4,5,4,5,5,5,4,3,3,1,1,1,1,3
267,32,0,1,3.06,1,4,4,2,4,3,3,2,3,5,5,5,5,5,3
268,21,0,3,3.05,5,4,5,3,2,2,3,3,1,1,1,1,3,1,1
269,27,1,2,4.0,2,1,3,3,1,3,4,2,2,2,5,5,5,5,5
270,22,1,1,3.28,3,4,1,2,3,1,1,2,1,3,2,2,3,1,5
271,35,0,1,3.3,3,3,2,3,1,4,2,1,3,3,4,5,2,4,2
272,34,1,3,2.93,4,2,5,5,5,4,5,4,4,5,2,2,2,2,4
273,21,0,4,3.49,4,3,4,3,4,2,3,1,3,1,2,2,2,3,3
274,22,0,1,3.69,4,5,4,3,4,3,4,4,1,2,3,2,1,1,1
275,28,1,3,3.5,1,2,2,2,1,3,2,1,1,2,4,4,3,5,5
276,33,1,1,3.21,5,2,4,3,4,4,5,5,5,3,5,3,4,2,2
277,29,0,2,3.52,5,4,3,2,4,5,5,5,5,4,2,3,3,2,3
278,23,1,1,3.89,1,1,1,1,1,2,1,1,2,3,4,4,5,1,4
279,22,1,2,3.28,5,5,4,4,5,5,5,5,5,5,2,1,2,3,4
280,23,1,4,3.71,2,1,3,2,3,4,4,2,4,3,2,4,3,4,3
281,21,0,1,3.51,5,5,5,5,5,5,4,5,4,5,2,1,1,2,2
282,24,0,2,3.87,4,4,1,3,3,4,4,3,4,4,4,2,1,1,4
283,34,0,3,3.43,5,5,5,5,5,5,4,5,4,5,1,5,1,3,1
284,23,1,1,3.09,2,3,4,3,1,3,1,3,1,2,4,3,3,4,3
285,25,1,1,3.48,3,5,2,3,5,2,4,5,3,5,2,1,2,3,1
286,32,1,1,3.5,1,2,1,1,1,1,2,2,2,3,5,5,5,5,5
287,30,0,3,3.2,1,2,3,2,2,4,4,3,1,4,3,5,4,1,5
288,21,1,3,3.65,5,4,4,5,4,5,5,5,5,5,3,3,2,4,4
289,30,1,3,2.67,4,3,3,3,5,2,4,5,3,4,1,1,2,2,3
290,27,0,4,3.66,4,4,3,4,5,3,5,5,5,3,4,1,1,2,4
291,20,1,1,3.61,5,5,5,5,5,4,4,5,3,5,1,1,1,1,1
292,28,0,2,2.66,5,4,5,3,5,3,2,3,3,3,2,1,2,2,4
293,35,0,3,3.03,4,5,4,5,3,3,3,3,2,3,1,2,3,2,3
294,21,1,2,3.21,2,2,1,2,1,4,4,5,3,5,2,3,4,3,4
295,35,1,1,3.52,5,3,4,3,3,3,3,3,3,1,4,5,4,5,2
296,30,1,2,3.36,5,5,3,5,4,5,5,5,4,5,3,2,4,5,1
297,24,0,4,3.41,5,3,4,2,4,5,4,5,1,4,3,2,2,4,4
298,23,1,2,3.29,1,2,1,3,2,1,3,2,2,3,2,2,2,2,4
299,20,1,3,3.84,2,4,4,1,3,4,1,1,3,2,4,4,4,1,5
300,22,1,2,3.32,3,2,2,3,4,5,4,3,5,3,4,3,3,3,3
301,32,0,2,4.0,5,4,4,3,4,4,3,4,5,3,3,5,3,5,3
302,21,0,1,3.4,4,3,5,2,4,3,3,2,4,4,1,2,3,1,2
303,30,0,2,3.53,1,1,1,2,2,4,2,2,2,4,4,5,5,2,5
304,27,0,3,3.5,5,5,4,5,5,2,2,3,3,3,3,4,5,5,4
305,31,1,1,3.33,2,2,1,1,2,1,1,1,2,2,5,5,5,5,4
306,22,1,2,3.3,2,4,3,5,3,1,1,1,1,2,1,3,2,2,1
307,20,1,2,3.09,2,2,1,1,3,1,1,1,1,2,5,2,2,5,4
308,28,1,3,3.2,5,5,5,5,5,5,5,5,5,5,1,1,1,2,1
309,23,1,2,3.43,3,2,3,4,3,3,3,3,3,3,2,1,1,2,1
310,34,0,1,3.29,1,3,2,1,1,1,1,1,1,1,1,4,3,1,2
311,21,0,3,3.54,5,4,3,5,5,4,1,1,1,3,2,3,2,3,1
312,32,0,3,2.89,5,5,4,3,4,2,3,1,4,3,1,3,3,2,2
313,30,1,1,3.04,3,4,2,2,3,1,4,1,2,2,5,5,4,5,2
314,23,1,3,3.75,1,2,1,1,1,5,2,3,3,5,1,1,3,2,3
315,22,1,3,3.52,3,4,1,5,3,2,2,1,2,3,4,4,4,4,3
316,26,0,2,2.96,2,2,3,4,5,3,2,4,1,1,2,1,2,1,1
317,32,1,3,3.03,4,4,3,5,4,4,3,3,4,3,1,1,1,1,1
318,22,0,3,3.5,1,1,1,4,3,2,3,5,2,5,4,3,3,1,2
319,25,0,1,2.99,3,5,5,5,5,5,5,4,3,3,1,1,1,2,1
320,30,1,3,3.02,4,2,3,2,1,2,3,3,4,4,2,4,3,3,4
321,35,1,3,3.29,5,5,5,5,5,4,3,3,2,5,1,4,3,3,4
322,34,1,4,3.13,2,3,2,1,2,5,5,2,4,3,1,1,4,2,1
323,30,1,3,2.99,1,1,1,2,2,1,1,1,1,1,5,5,5,3,5
324,35,1,1,2.99,1,1,1,1,1,1,1,1,1,2,3,4,4,5,5
325,30,1,3,3.23,3,1,2,3,3,2,2,1,1,1,5,5,5,5,5
326,28,1,1,3.39,2,2,2,2,2,1,1,1,1,2,5,4,4,2,2
